ID,Оригинальное название,Транслитерация на русском,Популярное название,По слогам для чтения,Разбор по частям,Буквальный смысл,От чего произошло,Подсказка для запоминания,Раздел
AS001,Sukshma Griva Vyayama,Сукшма Грива Вьяяма,мягкая разминка шеи,Сук-шма | Гри-ва | Вья-я-ма,"sukshma = тонкий, мягкий, утонченный; griva = шея; vyayama = упражнение, разминка","тонкий, мягкий, утонченный + шея + упражнение, разминка",обозначает тонкую суставную или подготовительную работу; анатомическое название области шеи; практическое движение или гимнастическое упражнение,"Свяжите образ: мягкая разминка шеи -> тонкий, мягкий, утонченный + шея + упражнение, разминка",Разминка шеи и плеч
AS002,Skandha Chakra,Скандха Чакра,круги плечами,Скан-дха | Чак-ра,"skandha = плечо, плечевой пояс; chakra = колесо, круг","плечо, плечевой пояс + колесо, круг",слово для области плеч; круговое движение или форма круга,"Свяжите образ: круги плечами -> плечо, плечевой пояс + колесо, круг",Разминка шеи и плеч
AS003,Hasta Uttanasana,Хаста Уттанасана,вытяжение рук вверх,Хас-та | Ут-та-на | А-са-на,"hasta = рука, кисть; uttana = интенсивное вытяжение; asana = сиденье, поза","рука, кисть + интенсивное вытяжение + сиденье, поза","используется в названиях положений рук; ut = интенсивно, tan = тянуть, вытягивать; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: вытяжение рук вверх -> рука, кисть + интенсивное вытяжение + часть названия требует ручной сверки",Разминка шеи и плеч
AS004,Gomukhasana Hasta,Гомукхасана Хаста,руки коровьей головы,Го | Мук-ха | А-са-на | Хас-та,"go = корова; mukha = лицо, морда, направление; asana = сиденье, поза; hasta = рука, кисть","корова + лицо, морда, направление + сиденье, поза + рука, кисть","образ коровы; в сложных словах часто становится частью go-mukha; указывает лицо/морду или направление позы; исходно seat/place, в йоге - устойчивая поза; используется в названиях положений рук","Свяжите образ: руки коровьей головы -> корова + лицо, морда, направление + часть названия требует ручной сверки + рука, кисть",Разминка шеи и плеч
AS005,Garudasana Hasta,Гарудасана Хаста,руки орла,Га-ру-да | А-са-на | Хас-та,"garuda = мифическая птица, орел; asana = сиденье, поза; hasta = рука, кисть","мифическая птица, орел + сиденье, поза + рука, кисть","Гаруда - птица из индийской мифологии; исходно seat/place, в йоге - устойчивая поза; используется в названиях положений рук","Свяжите образ: руки орла -> мифическая птица, орел + часть названия требует ручной сверки + рука, кисть",Разминка шеи и плеч
AS006,Parsva Tadasana,Паршва Тадасана,боковое вытяжение стоя,Парш-ва | Та-да | А-са-на,"parsva = бок, сторона; tada = гора; asana = сиденье, поза","бок, сторона + гора + сиденье, поза","обозначает боковое положение или боковую линию; образ устойчивости и вертикальности; исходно seat/place, в йоге - устойчивая поза","Свяжите образ: боковое вытяжение стоя -> бок, сторона + гора + часть названия требует ручной сверки",Разминка шеи и плеч
AS007,Marjaryasana,Марджариасана,кошка,Мар-джа-рья | А-са-на,"marjarya = кошка; asana = сиденье, поза",кошка + поза,"образ округления и вытяжения спины кошки; asana исходно seat/place, в йоге - устойчивая поза",Свяжите образ: кошка -> кошка + поза,Разминка позвоночника
AS008,Bitilasana,Битиласана,корова,Би-ти-ла | А-са-на,"bitila = корова; asana = сиденье, поза","корова + сиденье, поза","образ мягкого прогиба спины; исходно seat/place, в йоге - устойчивая поза",Свяжите образ: корова -> корова + часть названия требует ручной сверки,Разминка позвоночника
AS009,Vyaghrasana,Вьягхрасана,тигр,Вья-гхра | А-са-на,"vyaghra = тигр; asana = сиденье, поза","тигр + сиденье, поза","образ вытянутого, собранного движения; исходно seat/place, в йоге - устойчивая поза",Свяжите образ: тигр -> тигр + часть названия требует ручной сверки,Разминка позвоночника
AS010,Balasana,Баласана,поза ребенка,Ба-ла | А-са-на,"bala = ребенок; asana = сиденье, поза","ребенок + сиденье, поза","образ отдыха, защищенности, сворачивания внутрь; исходно seat/place, в йоге - устойчивая поза",Свяжите образ: поза ребенка -> ребенок + часть названия требует ручной сверки,Восстановление и паузы
