"ID","Раздел","Направления и эффект","Уровень","Название асаны в оригинале","Транслитерация на русском","Популярное название на русском","Объяснение выполнения","Минуты","Противопоказания и ограничения","Текст для озвучивания","Как встроить перед асаной","Как выйти или компенсировать","Картинка визуализация","Заметки"
"AS001","Разминка шеи и плеч","мобилизация шеи","начальный","Sukshma Griva Vyayama","Сукшма Грива Вьяяма","мягкая разминка шеи","Сядьте или встаньте ровно, удлините шею, двигайтесь медленно и без рывков. Держите плечи мягкими, дыхание ровным.","3","обычно безопасна при мягком выполнении, избегать боли и головокружения","Войдите в мягкая разминка шеи. Сядьте или встаньте ровно, удлините шею, двигайтесь медленно и без рывков. Держите плечи мягкими, дыхание ровным. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS001.svg","v1 каталог, строка расширяема"
"AS002","Разминка шеи и плеч","плечи и верх спины","начальный","Skandha Chakra","Скандха Чакра","круги плечами","Сядьте или встаньте ровно, удлините шею, двигайтесь медленно и без рывков. Держите плечи мягкими, дыхание ровным.","3","обычно безопасна при мягком выполнении, избегать боли и головокружения","Войдите в круги плечами. Сядьте или встаньте ровно, удлините шею, двигайтесь медленно и без рывков. Держите плечи мягкими, дыхание ровным. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS002.svg","v1 каталог, строка расширяема"
"AS003","Разминка шеи и плеч","плечи и грудной отдел","начальный","Hasta Uttanasana","Хаста Уттанасана","вытяжение рук вверх","Сядьте или встаньте ровно, удлините шею, двигайтесь медленно и без рывков. Держите плечи мягкими, дыхание ровным.","3","обычно безопасна при мягком выполнении, избегать боли и головокружения","Войдите в вытяжение рук вверх. Сядьте или встаньте ровно, удлините шею, двигайтесь медленно и без рывков. Держите плечи мягкими, дыхание ровным. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS003.svg","v1 каталог, строка расширяема"
"AS004","Разминка шеи и плеч","плечи","начальный","Gomukhasana Hasta","Гомукхасана Хаста","руки коровьей головы","Сядьте или встаньте ровно, удлините шею, двигайтесь медленно и без рывков. Держите плечи мягкими, дыхание ровным.","3","обычно безопасна при мягком выполнении, избегать боли и головокружения","Войдите в руки коровьей головы. Сядьте или встаньте ровно, удлините шею, двигайтесь медленно и без рывков. Держите плечи мягкими, дыхание ровным. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS004.svg","v1 каталог, строка расширяема"
"AS005","Разминка шеи и плеч","лопатки","начальный","Garudasana Hasta","Гарудасана Хаста","руки орла","Сядьте или встаньте ровно, удлините шею, двигайтесь медленно и без рывков. Держите плечи мягкими, дыхание ровным.","3","обычно безопасна при мягком выполнении, избегать боли и головокружения","Войдите в руки орла. Сядьте или встаньте ровно, удлините шею, двигайтесь медленно и без рывков. Держите плечи мягкими, дыхание ровным. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS005.svg","v1 каталог, строка расширяема"
"AS006","Разминка шеи и плеч","боковая линия","начальный","Parsva Tadasana","Паршва Тадасана","боковое вытяжение стоя","Сядьте или встаньте ровно, удлините шею, двигайтесь медленно и без рывков. Держите плечи мягкими, дыхание ровным.","3","обычно безопасна при мягком выполнении, избегать боли и головокружения","Войдите в боковое вытяжение стоя. Сядьте или встаньте ровно, удлините шею, двигайтесь медленно и без рывков. Держите плечи мягкими, дыхание ровным. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS006.svg","v1 каталог, строка расширяема"
"AS007","Разминка позвоночника","позвоночник","начальный","Marjaryasana","Марджариасана","кошка","Войдите через четвереньки или нейтральную опору. Двигайте позвоночник волной с дыханием, не уходя в боль.","3","обычно безопасна при мягком выполнении, избегать боли и головокружения","Войдите в кошка. Войдите через четвереньки или нейтральную опору. Двигайте позвоночник волной с дыханием, не уходя в боль. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS007.svg","v1 каталог, строка расширяема"
"AS008","Разминка позвоночника","грудной отдел","начальный","Bitilasana","Битиласана","корова","Войдите через четвереньки или нейтральную опору. Двигайте позвоночник волной с дыханием, не уходя в боль.","3","обычно безопасна при мягком выполнении, избегать боли и головокружения","Войдите в корова. Войдите через четвереньки или нейтральную опору. Двигайте позвоночник волной с дыханием, не уходя в боль. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS008.svg","v1 каталог, строка расширяема"
"AS009","Разминка позвоночника","поясница и координация","начальный","Vyaghrasana","Вьягхрасана","тигр","Войдите через четвереньки или нейтральную опору. Двигайте позвоночник волной с дыханием, не уходя в боль.","3","обычно безопасна при мягком выполнении, избегать боли и головокружения","Войдите в тигр. Войдите через четвереньки или нейтральную опору. Двигайте позвоночник волной с дыханием, не уходя в боль. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS009.svg","v1 каталог, строка расширяема"
"AS010","Восстановление и паузы","отдых и поясница","начальный","Balasana","Баласана","поза ребенка","Устройтесь удобно, поддержите тело опорами и отпускайте лишнее усилие. Дыхание естественное, выход плавный.","5","обычно безопасна при мягком выполнении, избегать боли и головокружения","Войдите в поза ребенка. Устройтесь удобно, поддержите тело опорами и отпускайте лишнее усилие. Дыхание естественное, выход плавный. Дышите ровно. Выход: вернуться в нейтраль и наблюдать дыхание.","после нейтрального выравнивания и спокойного дыхания","вернуться в нейтраль и наблюдать дыхание","visuals/AS010.svg","v1 каталог, строка расширяема"
